商户订单号,订单类型,清算日期,下单时间,支付成功时间,交易金额,商户手续费,入账金额,支付产品,卡类型
ZGTPAY150819_1017890,交易,2015-08-19,2015-08-19 10:22:29,2015-08-19 10:22:31,0.01,0.0,0.01,DIRECT,CREDIT
3_3917da37_1_tnXBhb,交易,2015-08-19,2015-08-19 12:17:44,2015-08-19 12:17:48,0.01,0.0,0.01,DIRECT,DEBIT
3_39993846_1_mK2Lba,交易,2015-08-19,2015-08-19 14:39:02,2015-08-19 14:39:03,0.01,0.0,0.01,DIRECT,DEBIT
3_39997128_1_YRRSF5,交易,2015-08-19,2015-08-19 14:39:17,2015-08-19 14:39:18,0.01,0.0,0.01,DIRECT,DEBIT
3_3999e07f_1_1gKwSB,交易,2015-08-19,2015-08-19 14:39:45,2015-08-19 14:39:46,0.01,0.0,0.01,DIRECT,DEBIT
3_39b1e52e_1_3xW3zW,交易,2015-08-19,2015-08-19 15:06:00,2015-08-19 15:06:01,0.01,0.0,0.01,DIRECT,DEBIT
JOYF14E7F769305455B9F4D59B945972CE4,交易,2015-08-19,2015-08-19 17:41:03,2015-08-19 17:41:05,0.01,0.0,0.01,DIRECT,CREDIT
JOYE3D21E24626E468091D35FA4AF722481,交易,2015-08-19,2015-08-19 17:43:43,2015-08-19 17:43:45,0.01,0.0,0.01,DIRECT,CREDIT
3_3a52584e_1cqXhn6,交易,2015-08-19,2015-08-19 18:01:15,2015-08-19 18:01:16,0.01,0.0,0.01,DIRECT,DEBIT
总条数:9条
